id,name,type,lat,lon,address,pkd,regon,competitors_1km,competitors_3km,competitors_5km,population_density,income_level,unemployment_rate,accessibility_score,rental_cost
529094815,Bar Orientalny Son Anh,restaurant,50.0396615,20.0256446,,restaurant,,4,108,310,200,40000,0.05,0.5276992386825876,1236.1503806587061
974054090,Za furtką,restaurant,50.0072473,20.0120853,,restaurant,,30,150,444,200,40000,0.05,0.8590823526381385,1070.4588236809307
1122602714,Pilea,restaurant,50.008091,19.948805,,restaurant,,56,225,789,200,40000,0.05,0.4816958126736779,1259.152093663161
1229057838,Pizza Accanto,restaurant,50.0321212,19.9224354,,restaurant,,68,479,704,200,40000,0.05,0.16047402287959345,1419.7629885602032
1275838430,Karczma Pod Wielką Solą,restaurant,49.9931657,20.0780957,,restaurant,,4,107,173,200,40000,0.05,0.21605829202804827,1391.9708539859757
1358248666,VietHome,restaurant,50.0351346,19.9411989,,restaurant,,68,553,748,200,40000,0.05,0.3150175565483473,1342.4912217258263
1390617288,Pizzeria Kliny,restaurant,50.0000459,19.9123803,,restaurant,,15,137,366,200,40000,0.05,0.12380287977532078,1438.0985601123396
1417604832,Martello,restaurant,50.0123449,19.9456515,,restaurant,,57,312,789,200,40000,0.05,0.44267101203507986,1278.66449398246
1480558716,Gąska,restaurant,50.0450686,19.9503328,,restaurant,,230,454,718,200,40000,0.05,0.3293279891183868,1335.3360054408067
1480577414,Me Thai,restaurant,50.0454063,19.9478084,,restaurant,,226,454,710,200,40000,0.05,0.30821280799292394,1345.893596003538
1481032671,Luktung,restaurant,50.0446373,19.9484281,,restaurant,,233,455,718,200,40000,0.05,0.3179333301722098,1341.033334913895
1499199594,Lokalna,restaurant,50.0458072,19.9491389,,restaurant,,229,453,712,200,40000,0.05,0.3155183665685575,1342.2408167157214
1615655233,Kmita,restaurant,49.984456,20.056697,,restaurant,,64,111,206,200,40000,0.05,0.412108365002535,1293.9458174987326
1739173875,Hoang Hai,restaurant,50.0396261,19.9255297,,restaurant,,64,488,689,200,40000,0.05,0.1564329674945687,1421.7835162527158
1772724850,Między-Nami,restaurant,50.0269095,19.920802,,restaurant,,74,442,705,200,40000,0.05,0.16355248854154758,1418.2237557292262
1892359252,Pizzeria Impero Romano,restaurant,49.9847298,20.0600018,,restaurant,,66,113,197,200,40000,0.05,0.3808558317096159,1309.572084145192
1892359285,Off Meat,restaurant,49.9847453,20.0598757,,restaurant,,66,113,199,200,40000,0.05,0.38211608512764317,1308.9419574361784
1895018303,Va banque,restaurant,49.9833024,20.0612074,,restaurant,,62,114,187,200,40000,0.05,0.3655588553285575,1317.2205723357213
1895018311,Creperie,restaurant,49.9819446,20.059738,,restaurant,,61,114,186,200,40000,0.05,0.3759306037658966,1312.0346981170517
1895018316,Karczma Halit,restaurant,49.982716,20.0568327,,restaurant,,59,111,197,200,40000,0.05,0.40597201704885977,1297.01399147557
1912640488,Hong HA,restaurant,50.0254688,19.9730047,,restaurant,,34,477,795,200,40000,0.05,0.6288657930707676,1185.5671034646161
1913933714,Yatai Sushi,restaurant,50.0450207,19.9494256,,restaurant,,232,454,717,200,40000,0.05,0.3229007928043307,1338.5496035978347
1938966314,Ali Baba,restaurant,50.0486254,19.9448973,,restaurant,,194,437,698,200,40000,0.05,0.26510292744835473,1367.4485362758228
1979218268,Świetlica,restaurant,50.0305571,19.9068674,,restaurant,,59,256,635,200,40000,0.05,0.1,1490.087174469254
1979218270,Bistro4mat,restaurant,50.0301572,19.9081436,,restaurant,,66,267,645,200,40000,0.05,0.1,1483.4008412487526
1979745725,Bac-Bo,restaurant,50.048018,19.9277401,,restaurant,,48,432,647,200,40000,0.05,0.13240438728577397,1433.7978063571131
1980060510,Panda Pizza,restaurant,50.0257891,19.9884075,,restaurant,,36,290,744,200,40000,0.05,0.7172521025613392,1141.3739487193304
2026922527,Marchewka z Groszkiem,restaurant,50.04833,19.9454035,,restaurant,,197,438,700,200,40000,0.05,0.27085209235369323,1364.5739538231533
2060861343,Makaroniarnia,restaurant,50.0454655,19.9479786,,restaurant,,227,454,711,200,40000,0.05,0.3091065387333589,1345.4467306333206
2060861354,Euskadi,restaurant,50.045023,19.9483794,,restaurant,,228,454,713,200,40000,0.05,0.31503599559100837,1342.4820022044958
2060861359,Il Toscano,restaurant,50.0454784,19.9482718,,restaurant,,228,454,712,200,40000,0.05,0.3112263403845952,1344.3868298077023
2132342126,Pokusa,restaurant,50.0430652,19.9484517,,restaurant,,218,461,721,200,40000,0.05,0.3282977829476732,1335.8511085261634
2135606465,Broo,restaurant,50.0498686,19.9419995,,restaurant,,177,431,692,200,40000,0.05,0.2350859351397584,1382.4570324301208
2219296018,Oberża Sąsiadów,restaurant,50.010773,19.9651564,,restaurant,,58,247,814,200,40000,0.05,0.6352899795783087,1182.3550102108456
2392829471,Jadłodajnia U Babuni,restaurant,50.0428751,19.931649,,restaurant,,109,474,707,200,40000,0.05,0.19314602306177686,1403.4269884691116
2766048439,Kuchnia rodzinna,restaurant,50.016785,19.9733026,,restaurant,,48,278,803,200,40000,0.05,0.6846450584246468,1157.6774707876766
2904954500,Wietnam,restaurant,50.0448926,19.9484885,,restaurant,,228,454,717,200,40000,0.05,0.3167152740614084,1341.6423629692958
2960323684,Igła Catering Obiady Domowe,restaurant,49.9818796,19.9612606,,restaurant,,1,40,243,200,40000,0.05,0.5723213813480865,1213.8393093259567
2962280177,Ciao,restaurant,50.04875,19.9448484,,restaurant,,191,437,698,200,40000,0.05,0.26391158937532033,1368.0442053123397
3038956835,Sztolnia,restaurant,49.9830866,20.0599069,,restaurant,,62,114,188,200,40000,0.05,0.3775130710472573,1311.2434644763714
3060588791,Restauracja Magnifica,restaurant,50.0084105,19.9321713,,restaurant,,31,290,717,200,40000,0.05,0.3165185405631029,1341.7407297184486
3207801554,Pizzeria,restaurant,49.9843549,19.9442721,,restaurant,,10,67,262,200,40000,0.05,0.42117636603019526,1289.4118169849023
3300214147,Pod Kominem,restaurant,49.9898437,20.0502163,,restaurant,,58,117,232,200,40000,0.05,0.48766932403184593,1256.165337984077
3467926511,Atom Resto Bar,restaurant,50.0292724,19.9057672,,restaurant,,64,248,634,200,40000,0.05,0.1,1493.3734386243414
3657179195,La Forchetta,restaurant,50.0084171,19.9345757,,restaurant,,34,291,729,200,40000,0.05,0.34036475208642325,1329.8176239567883
3731621468,Wodnik,restaurant,50.014434,19.9642107,,restaurant,,63,269,817,200,40000,0.05,0.614096598811293,1192.9517005943535
3745363415,The Pizza,restaurant,50.0082229,19.9605985,,restaurant,,60,236,814,200,40000,0.05,0.5974960513659497,1201.251974317025
3757479361,Trzej kucharze,restaurant,49.9987176,19.9180082,,restaurant,,8,154,366,200,40000,0.05,0.17998171867938584,1410.0091406603071
3782911771,Tesone,restaurant,50.0191431,19.9069414,,restaurant,,50,190,614,200,40000,0.05,0.1,1475.0358226378792
3977689061,Nolio,restaurant,50.0493534,19.9428403,,restaurant,,187,432,696,200,40000,0.05,0.2448186048603902,1377.590697569805
3990802127,Prosta,restaurant,50.0491751,19.9438468,,restaurant,,189,434,697,200,40000,0.05,0.2535837401121267,1373.2081299439367
3999482920,Krako Slow Wines,restaurant,50.0474644,19.9627719,,restaurant,,118,432,723,200,40000,0.05,0.3967752742990175,1301.6123628504913
4052022989,Akita Ramen,restaurant,50.048566,19.9423334,,restaurant,,197,437,697,200,40000,0.05,0.24607075188979344,1376.9646240551033
4072258658,Nasza,restaurant,50.0414581,19.9264482,,restaurant,,69,478,690,200,40000,0.05,0.15568718244657231,1422.1564087767138
4103560795,restaurant_4103560795,restaurant,50.0279341,19.9197855,,restaurant,,73,444,704,200,40000,0.05,0.15060727851833944,1424.6963607408302
4198315898,Vincenzo Pedone Pizza Napoletana,restaurant,50.0276004,19.9289629,,restaurant,,47,527,730,200,40000,0.05,0.237894255593748,1381.052872203126
4291175494,Qrudo,restaurant,50.0499693,19.9478968,,restaurant,,204,426,697,200,40000,0.05,0.27808072523791105,1360.9596373810446
