name,business_category,lat,lon,address,pkd,regon,nip,status,competitors_1km,competitors_3km,competitors_5km,population_density,income_level,accessibility_score,rental_cost,source,employees
Nad and Greg,gastronomia,50.0445276,19.9482263,,cafe,,,active,29,48,58,307.2325016671296,58872.56801514534,0.8872568015145338,2225.486396970932,OSM,10
Emigrant Coffee 2.0 - Kalwaryjska,gastronomia,50.0442724,19.94826,,cafe,,,active,29,48,58,304.5680613838442,58858.33081864137,0.8858330818641372,2228.3338362717254,OSM,10
Urban Coffee,gastronomia,50.0483779,19.9445164,,cafe,,,active,22,46,58,355.20659391774257,59092.36847355433,0.9092368473554328,2181.5263052891346,OSM,17
Kładka Cafe,gastronomia,50.0474472,19.9467564,,cafe,,,active,27,48,58,342.17076239437154,59038.74131003712,0.9038741310037117,2192.2517379925766,OSM,18
Dala,gastronomia,50.0483756,19.9431263,,cafe,,,active,22,45,58,354.5957874390788,59089.943767772755,0.9089943767772757,2182.0112464454487,OSM,4
Mostowa,gastronomia,50.0479673,19.9461091,,cafe,,,active,27,48,58,349.37239337191477,59068.86231000015,0.9068862310000153,2186.227537999969,OSM,7
Za Witrażem,gastronomia,50.0119881,20.0003722,,cafe,,,active,1,7,36,123.9066283389952,56464.70336815191,0.6464703368151914,2707.0593263696173,OSM,10
Mikroklimat,gastronomia,50.0218821,19.9115397,,cafe,,,active,2,13,52,158.0510397686071,57336.46497528887,0.7336464975288871,2532.7070049422255,OSM,6
Przystań Papieska,gastronomia,50.0132759,19.935852,,cafe,,,active,1,15,58,148.03190476731402,57122.349750981506,0.7122349750981507,2575.5300498036986,OSM,14
Kawiarnia,gastronomia,49.9833856,20.0556853,,cafe,,,active,8,9,16,76.854714032844,53994.21819738573,0.39942181973857305,3201.156360522854,OSM,5
McCafé,gastronomia,50.0325619,19.9704402,,cafe,,,active,1,47,65,199.6499394055609,57995.61657023937,0.7995616570239372,2400.8766859521256,OSM,16
MaxiPizza,gastronomia,50.0332357,19.9244262,,cafe,,,active,2,41,56,208.56974079562883,58102.72032705868,0.8102720327058685,2379.455934588263,OSM,17
Karma Coffee Roasters,gastronomia,50.0494227,19.9458409,,cafe,,,active,24,46,58,370.39524991890045,59150.090679862995,0.9150090679862992,2169.9818640274016,OSM,17
Urban Coffee,gastronomia,50.0373897,19.9400908,,cafe,,,active,7,49,59,246.49190908820805,58471.535853450376,0.8471535853450374,2305.6928293099254,OSM,4
Bonbon Boutique,gastronomia,50.0468094,19.9508394,,cafe,,,active,30,48,58,329.7548661344743,58983.72214833033,0.8983722148330331,2203.255570333934,OSM,19
String Taste,gastronomia,50.0499476,19.9627951,,cafe,,,active,9,45,58,325.2253481936341,58962.60445940915,0.8962604459409148,2207.47910811817,OSM,5
Knitted Coffee,gastronomia,50.0491733,19.9594407,,cafe,,,active,18,46,58,332.1307137091593,58994.56861602435,0.899456861602435,2201.08627679513,OSM,3
PodwaFelskie,gastronomia,50.0480668,19.9436304,,cafe,,,active,22,45,58,350.6175904473565,59073.94490857676,0.9073944908576763,2185.2110182846473,OSM,10
Piekarnia Buczek,gastronomia,50.0125003,20.0194768,,cafe,,,active,3,10,28,112.70363629274439,56063.58591038478,0.6063585910384784,2787.2828179230432,OSM,16
Cafe Lukier,gastronomia,50.0437613,19.9498967,,cafe,,,active,29,48,58,298.1179403758292,58822.81143707868,0.8822811437078683,2235.4377125842634,OSM,4
CafeKULTURA,gastronomia,49.9825856,20.0597126,,cafe,,,active,7,9,16,75.3637084633655,53865.50695029755,0.38655069502975503,3226.89860994049,OSM,16
Film Cafe,gastronomia,50.0473901,19.9612885,,cafe,,,active,16,46,60,307.80829355323243,58875.61231951169,0.887561231951169,2224.877536097662,OSM,8
Pan Steskal,gastronomia,49.9846086,20.0629249,,cafe,,,active,7,9,16,75.42078688475807,53870.52793198786,0.38705279319878594,3225.8944136024284,OSM,2
Bonjour Cava,gastronomia,50.0452634,19.9482563,,cafe,,,active,28,48,58,315.08779261695577,58913.14068105508,0.8913140681055082,2217.371863788984,OSM,2
Fabryka Kwiatów,gastronomia,50.0278147,19.9290529,,cafe,,,active,2,43,57,190.23706389500197,57871.70039443015,0.787170039443015,2425.65992111397,OSM,8
Ciacho bez Cukru,gastronomia,50.04409,19.957758,,cafe,,,active,22,48,60,288.50871177759785,58766.9500795337,0.8766950079533702,2246.6099840932598,OSM,12
Costa,gastronomia,50.0274177,19.9509576,,cafe,,,active,4,54,60,193.52194559314748,57916.31369782123,0.7916313697821231,2416.737260435754,OSM,14
AfterTaste,gastronomia,50.0462881,19.9545354,,cafe,,,active,30,47,58,316.70402003948664,58921.23885911628,0.8921238859116282,2215.7522281767438,OSM,8
nadziana kawiarnia,gastronomia,50.0352515,19.9997678,,cafe,,,active,0,15,55,163.92371678567258,57449.80073778011,0.7449800737780115,2510.039852443977,OSM,11
Lajkonik,gastronomia,50.0441335,19.9474436,,cafe,,,active,25,48,58,303.6251178268808,58853.23242168296,0.8853232421682955,2229.353515663409,OSM,10
"Kawiarnia ""Słodko czy Słono""",gastronomia,49.9845546,20.0616437,,cafe,,,active,7,9,16,75.75403443970977,53899.69146596497,0.38996914659649695,3220.061706807006,OSM,10
Pół Serio,gastronomia,50.0106846,19.9562857,,cafe,,,active,0,13,63,141.64148437400584,56969.96074483557,0.6969960744835569,2606.0078510328863,OSM,15
GoodFord,gastronomia,50.0401313,19.9650924,,cafe,,,active,5,49,63,244.7590424539114,58457.17455425921,0.8457174554259212,2308.5650891481578,OSM,19
Gwar,gastronomia,50.0480028,19.9460467,,cafe,,,active,27,48,58,349.8770287499496,59070.92647154798,0.9070926471547978,2185.8147056904045,OSM,12
Słodkohole,gastronomia,50.0491924,19.9432722,,cafe,,,active,22,45,58,366.4651441355324,59135.61376026779,0.9135613760267793,2172.8772479464415,OSM,7
Nutetes Cafe & Pizza,gastronomia,49.9702902,20.0430371,,cafe,,,active,0,9,11,73.42015656098975,53689.881043298345,0.3689881043298342,3262.0237913403316,OSM,15
Tworzywo,gastronomia,50.0464727,19.9539274,,cafe,,,active,30,47,58,320.0377246926448,58937.68418088778,0.8937684180887782,2212.4631638224437,OSM,3
kawa | Romanowicza,gastronomia,50.0480826,19.964238,,cafe,,,active,11,47,59,302.8203325216601,58848.85591784285,0.8848855917842848,2230.2288164314305,OSM,12
Bar Vietnam,gastronomia,50.0425148,19.971672,,cafe,,,active,4,45,62,242.9334278005249,58441.82297377965,0.8441822973779651,2311.6354052440697,OSM,1
Wild Bean Cafe,gastronomia,50.0400581,19.9843902,,cafe,,,active,3,40,60,202.98531784306618,58036.767657321085,0.8036767657321086,2392.646468535783,OSM,10
TuTa,gastronomia,50.040293,19.9858733,,cafe,,,active,2,35,60,200.59573337298818,58007.42455189563,0.8007424551895633,2398.5150896208734,OSM,9
Bistro FuliBeli,gastronomia,50.0284772,19.9372069,,cafe,,,active,4,50,60,197.39244123432778,57966.974941525536,0.7966974941525538,2406.6050116948927,OSM,3
Green Times Cafe,gastronomia,50.0489934,19.9447417,,cafe,,,active,22,45,58,364.0876230437836,59126.704209772404,0.9126704209772404,2174.6591580455192,OSM,1
Lokator,gastronomia,50.0480823,19.9453272,,cafe,,,active,24,46,58,351.12956594042805,59076.02421299712,0.9076024212997122,2184.7951574005756,OSM,5
Zakręcona Kawiarenka,gastronomia,50.0477693,19.9449093,,cafe,,,active,23,46,58,346.9067442554055,59058.69045995865,0.9058690459958653,2188.2619080082695,OSM,14
Coffee Things,gastronomia,50.0490629,19.9429954,,cafe,,,active,22,45,58,364.3457774014406,59127.677247789004,0.9127677247789003,2174.464550442199,OSM,4
Crush,gastronomia,50.045636,19.947992,,cafe,,,active,28,48,58,319.43216626081875,58934.72244560447,0.8934722445604473,2213.0555108791054,OSM,1
Wild Bean Cafe,gastronomia,50.0382644,20.0243898,,cafe,,,active,0,10,24,135.40686619675873,56807.42506607121,0.6807425066071217,2638.5149867857567,OSM,1
Boby Specialty Coffee,gastronomia,50.0481514,19.9285834,,cafe,,,active,2,43,55,314.3019519510776,58909.17309963819,0.8909173099638188,2218.1653800723625,OSM,5
Jeszcze 2 minutki,gastronomia,50.0396365,19.9852291,,cafe,,,active,2,36,60,199.9161712589052,57998.95170134853,0.7998951701348533,2400.2096597302934,OSM,18
cafe_12097792513,gastronomia,49.9846594,20.0524983,,cafe,,,active,8,9,17,78.39904602627799,54122.371376401585,0.41223713764015857,3175.525724719683,OSM,7
iove,gastronomia,50.0496064,19.9593251,,cafe,,,active,18,46,58,337.2271585100705,59017.31989140765,0.9017319891407652,2196.5360217184693,OSM,14
Rękoczyny cafe & bakery,gastronomia,50.0192725,19.9070489,,cafe,,,active,2,8,47,148.53478150450903,57133.78506410755,0.713378506410755,2573.2429871784902,OSM,15
Społeczna Kaffka,gastronomia,50.0188648,19.9822713,,cafe,,,active,1,17,60,148.15276432434774,57125.105158987375,0.7125105158987378,2574.9789682025244,OSM,4
Café Zakrzówek,gastronomia,50.0350478,19.9130438,,cafe,,,active,1,38,51,199.61387895593205,57995.1641508335,0.7995164150833505,2400.967169833299,OSM,15
